nome,id_aluno,dominio,email,matriculas
ALEXANDRE,261,@dominiodoemail.com.br,alexandre@dominiodoemail.com.br,1
ROBERTO,337,@dominiodoemail.com.br,roberto@dominiodoemail.com.br,2
EDSON,332,@dominiodoemail.com.br,edson@dominiodoemail.com.br,1
DIEGO,75,@servicodoemail.com,diego@servicodoemail.com,1
VITOR,296,@dominiodoemail.com.br,vitor@dominiodoemail.com.br,2
SERGIO,237,@servicodoemail.com,sergio@servicodoemail.com,1
CLAUDIO,295,@servicodoemail.com,claudio@servicodoemail.com,3
MATHEUS,267,@servicodoemail.com,matheus@servicodoemail.com,1
THIAGO,157,@servicodoemail.com,thiago@servicodoemail.com,1
GERALDO,258,@servicodoemail.com,geraldo@servicodoemail.com,5
ADRIANO,36,@dominiodoemail.com.br,adriano@dominiodoemail.com.br,7
LUCIANO,357,@servicodoemail.com,luciano@servicodoemail.com,3
JULIO,240,@dominiodoemail.com.br,julio@dominiodoemail.com.br,2
RENATO,390,@dominiodoemail.com.br,renato@dominiodoemail.com.br,1
ALEX,248,@servicodoemail.com,alex@servicodoemail.com,1
VINICIUS,26,@dominiodoemail.com.br,vinicius@dominiodoemail.com.br,2
ROGERIO,101,@dominiodoemail.com.br,rogerio@dominiodoemail.com.br,3
SAMUEL,275,@servicodoemail.com,samuel@servicodoemail.com,4
RONALDO,232,@servicodoemail.com,ronaldo@servicodoemail.com,1
MARIO,280,@dominiodoemail.com.br,mario@dominiodoemail.com.br,2
FLAVIO,24,@dominiodoemail.com.br,flavio@dominiodoemail.com.br,1
DOUGLAS,13,@dominiodoemail.com.br,douglas@dominiodoemail.com.br,1
IGOR,302,@servicodoemail.com,igor@servicodoemail.com,1
DAVI,192,@servicodoemail.com,davi@servicodoemail.com,3
MANUEL,82,@dominiodoemail.com.br,manuel@dominiodoemail.com.br,2
JEFERSON,31,@dominiodoemail.com.br,jeferson@dominiodoemail.com.br,2
CICERO,20,@servicodoemail.com,cicero@servicodoemail.com,2
VICTOR,59,@servicodoemail.com,victor@servicodoemail.com,3
MIGUEL,227,@servicodoemail.com,miguel@servicodoemail.com,4
ROBSON,395,@servicodoemail.com,robson@servicodoemail.com,4
MAURICIO,277,@dominiodoemail.com.br,mauricio@dominiodoemail.com.br,3
DANILO,121,@servicodoemail.com,danilo@servicodoemail.com,4
HENRIQUE,211,@dominiodoemail.com.br,henrique@dominiodoemail.com.br,1
CAIO,107,@servicodoemail.com,caio@servicodoemail.com,6
REGINALDO,150,@servicodoemail.com,reginaldo@servicodoemail.com,1
JOAQUIM,72,@dominiodoemail.com.br,joaquim@dominiodoemail.com.br,1
BENEDITO,264,@servicodoemail.com,benedito@servicodoemail.com,5
GILBERTO,231,@servicodoemail.com,gilberto@servicodoemail.com,1
MARCO,52,@servicodoemail.com,marco@servicodoemail.com,2
ALAN,245,@servicodoemail.com,alan@servicodoemail.com,3
NELSON,179,@dominiodoemail.com.br,nelson@dominiodoemail.com.br,3
CRISTIANO,202,@dominiodoemail.com.br,cristiano@dominiodoemail.com.br,2
ELIAS,323,@servicodoemail.com,elias@servicodoemail.com,1
WILSON,114,@servicodoemail.com,wilson@servicodoemail.com,1
VALDIR,328,@dominiodoemail.com.br,valdir@dominiodoemail.com.br,1
EMERSON,178,@dominiodoemail.com.br,emerson@dominiodoemail.com.br,1
LUAN,252,@dominiodoemail.com.br,luan@dominiodoemail.com.br,1
DAVID,6,@dominiodoemail.com.br,david@dominiodoemail.com.br,2
RENAN,274,@dominiodoemail.com.br,renan@dominiodoemail.com.br,1
SEVERINO,125,@servicodoemail.com,severino@servicodoemail.com,1
FABRICIO,220,@dominiodoemail.com.br,fabricio@dominiodoemail.com.br,4
MAURO,380,@dominiodoemail.com.br,mauro@dominiodoemail.com.br,1
JONAS,272,@servicodoemail.com,jonas@servicodoemail.com,3
GILMAR,95,@servicodoemail.com,gilmar@servicodoemail.com,3
JEAN,165,@servicodoemail.com,jean@servicodoemail.com,4
FABIANO,212,@servicodoemail.com,fabiano@servicodoemail.com,1
WESLEY,366,@dominiodoemail.com.br,wesley@dominiodoemail.com.br,1
DIOGO,376,@dominiodoemail.com.br,diogo@dominiodoemail.com.br,1
ADILSON,371,@servicodoemail.com,adilson@servicodoemail.com,1
JAIR,0,@dominiodoemail.com.br,jair@dominiodoemail.com.br,2
ALESSANDRO,291,@dominiodoemail.com.br,alessandro@dominiodoemail.com.br,5
EVERTON,210,@servicodoemail.com,everton@servicodoemail.com,1
OSVALDO,200,@servicodoemail.com,osvaldo@servicodoemail.com,6
GILSON,147,@servicodoemail.com,gilson@servicodoemail.com,1
WILLIAN,38,@servicodoemail.com,willian@servicodoemail.com,1
JOEL,170,@dominiodoemail.com.br,joel@dominiodoemail.com.br,2
SILVIO,297,@servicodoemail.com,silvio@servicodoemail.com,1
HELIO,148,@dominiodoemail.com.br,helio@dominiodoemail.com.br,2
MAICON,144,@servicodoemail.com,maicon@servicodoemail.com,3
REINALDO,12,@servicodoemail.com,reinaldo@servicodoemail.com,1
PABLO,370,@dominiodoemail.com.br,pablo@dominiodoemail.com.br,2
ARTUR,341,@servicodoemail.com,artur@servicodoemail.com,1
VAGNER,55,@dominiodoemail.com.br,vagner@dominiodoemail.com.br,6
VALTER,30,@servicodoemail.com,valter@servicodoemail.com,2
CELSO,299,@dominiodoemail.com.br,celso@dominiodoemail.com.br,1
IVAN,21,@dominiodoemail.com.br,ivan@dominiodoemail.com.br,1
CLEITON,120,@dominiodoemail.com.br,cleiton@dominiodoemail.com.br,1
VANDERLEI,160,@dominiodoemail.com.br,vanderlei@dominiodoemail.com.br,2
VICENTE,142,@dominiodoemail.com.br,vicente@dominiodoemail.com.br,1
ARTHUR,379,@dominiodoemail.com.br,arthur@dominiodoemail.com.br,2
MILTON,93,@dominiodoemail.com.br,milton@dominiodoemail.com.br,2
DOMINGOS,260,@servicodoemail.com,domingos@servicodoemail.com,3
WAGNER,188,@dominiodoemail.com.br,wagner@dominiodoemail.com.br,1
SANDRO,284,@dominiodoemail.com.br,sandro@dominiodoemail.com.br,1
MOISES,189,@dominiodoemail.com.br,moises@dominiodoemail.com.br,3
EDILSON,177,@servicodoemail.com,edilson@servicodoemail.com,1
ADEMIR,105,@dominiodoemail.com.br,ademir@dominiodoemail.com.br,3
ADAO,5,@dominiodoemail.com.br,adao@dominiodoemail.com.br,1
EVANDRO,288,@servicodoemail.com,evandro@servicodoemail.com,2
CESAR,279,@dominiodoemail.com.br,cesar@dominiodoemail.com.br,1
VALMIR,19,@dominiodoemail.com.br,valmir@dominiodoemail.com.br,2
MURILO,29,@dominiodoemail.com.br,murilo@dominiodoemail.com.br,1
JULIANO,78,@servicodoemail.com,juliano@servicodoemail.com,3
EDVALDO,356,@servicodoemail.com,edvaldo@servicodoemail.com,4
AILTON,134,@dominiodoemail.com.br,ailton@dominiodoemail.com.br,2
JUNIOR,196,@servicodoemail.com,junior@servicodoemail.com,2
BRENO,369,@dominiodoemail.com.br,breno@dominiodoemail.com.br,4
NICOLAS,71,@dominiodoemail.com.br,nicolas@dominiodoemail.com.br,5
RUAN,94,@servicodoemail.com,ruan@servicodoemail.com,1
ALBERTO,273,@dominiodoemail.com.br,alberto@dominiodoemail.com.br,5
RUBENS,386,@servicodoemail.com,rubens@servicodoemail.com,2
NILTON,35,@dominiodoemail.com.br,nilton@dominiodoemail.com.br,1
AUGUSTO,128,@servicodoemail.com,augusto@servicodoemail.com,2
CLEBER,74,@dominiodoemail.com.br,cleber@dominiodoemail.com.br,2
OSMAR,53,@dominiodoemail.com.br,osmar@dominiodoemail.com.br,3
NILSON,22,@servicodoemail.com,nilson@servicodoemail.com,1
ORLANDO,324,@dominiodoemail.com.br,orlando@dominiodoemail.com.br,4
HUGO,285,@servicodoemail.com,hugo@servicodoemail.com,1
OTAVIO,300,@dominiodoemail.com.br,otavio@dominiodoemail.com.br,2
VINICIOS,90,@servicodoemail.com,vinicios@servicodoemail.com,1
ITALO,315,@dominiodoemail.com.br,italo@dominiodoemail.com.br,1
WILIAN,351,@servicodoemail.com,wilian@servicodoemail.com,3
ALISSON,396,@dominiodoemail.com.br,alisson@dominiodoemail.com.br,3
APARECIDO,333,@dominiodoemail.com.br,aparecido@dominiodoemail.com.br,1
ISRAEL,398,@servicodoemail.com,israel@servicodoemail.com,1
EDMILSON,175,@servicodoemail.com,edmilson@servicodoemail.com,1
JOSUE,4,@dominiodoemail.com.br,josue@dominiodoemail.com.br,2
GERSON,159,@dominiodoemail.com.br,gerson@dominiodoemail.com.br,1
CAUA,367,@servicodoemail.com,caua@servicodoemail.com,1
SIDNEI,181,@dominiodoemail.com.br,sidnei@dominiodoemail.com.br,1
EMANUEL,143,@dominiodoemail.com.br,emanuel@dominiodoemail.com.br,3
VALDEMAR,385,@servicodoemail.com,valdemar@servicodoemail.com,11
JAIME,152,@dominiodoemail.com.br,jaime@dominiodoemail.com.br,2
EDIVALDO,80,@dominiodoemail.com.br,edivaldo@dominiodoemail.com.br,3
ARNALDO,117,@dominiodoemail.com.br,arnaldo@dominiodoemail.com.br,1
MOACIR,156,@servicodoemail.com,moacir@servicodoemail.com,3
DAMIAO,246,@servicodoemail.com,damiao@servicodoemail.com,1
ISMAEL,201,@servicodoemail.com,ismael@servicodoemail.com,1
NIVALDO,307,@dominiodoemail.com.br,nivaldo@dominiodoemail.com.br,2
JAIRO,104,@servicodoemail.com,jairo@servicodoemail.com,1
ISAIAS,61,@servicodoemail.com,isaias@servicodoemail.com,2
MICHEL,108,@dominiodoemail.com.br,michel@dominiodoemail.com.br,2
ANGELO,127,@servicodoemail.com,angelo@servicodoemail.com,2
CRISTIAN,81,@servicodoemail.com,cristian@servicodoemail.com,6
WELLINGTON,393,@dominiodoemail.com.br,wellington@dominiodoemail.com.br,3
ALEXANDRO,242,@dominiodoemail.com.br,alexandro@dominiodoemail.com.br,2
VALDEMIR,44,@dominiodoemail.com.br,valdemir@dominiodoemail.com.br,1
WANDERSON,164,@servicodoemail.com,wanderson@servicodoemail.com,1
JAILSON,313,@servicodoemail.com,jailson@servicodoemail.com,1
DENIS,89,@servicodoemail.com,denis@servicodoemail.com,2
RIAN,316,@servicodoemail.com,rian@servicodoemail.com,2
CELIO,374,@servicodoemail.com,celio@servicodoemail.com,1
CLAUDINEI,352,@servicodoemail.com,claudinei@servicodoemail.com,1
DENILSON,249,@dominiodoemail.com.br,denilson@dominiodoemail.com.br,2
IAGO,298,@dominiodoemail.com.br,iago@dominiodoemail.com.br,2
EDER,166,@dominiodoemail.com.br,eder@dominiodoemail.com.br,2
YURI,167,@dominiodoemail.com.br,yuri@dominiodoemail.com.br,1
CHARLES,388,@servicodoemail.com,charles@servicodoemail.com,1
MARLON,7,@dominiodoemail.com.br,marlon@dominiodoemail.com.br,1
ALISON,281,@dominiodoemail.com.br,alison@dominiodoemail.com.br,1
JONATAN,115,@dominiodoemail.com.br,jonatan@dominiodoemail.com.br,1
ERIC,318,@servicodoemail.com,eric@servicodoemail.com,3
ELTON,228,@dominiodoemail.com.br,elton@dominiodoemail.com.br,2
VALDECIR,368,@servicodoemail.com,valdecir@servicodoemail.com,1
WESLEI,136,@dominiodoemail.com.br,weslei@dominiodoemail.com.br,2
NATANAEL,345,@dominiodoemail.com.br,natanael@dominiodoemail.com.br,2
ERICK,263,@dominiodoemail.com.br,erick@dominiodoemail.com.br,4
AGNALDO,236,@servicodoemail.com,agnaldo@servicodoemail.com,1
KAUAN,145,@dominiodoemail.com.br,kauan@dominiodoemail.com.br,3
ODAIR,276,@servicodoemail.com,odair@servicodoemail.com,4
WALTER,226,@dominiodoemail.com.br,walter@dominiodoemail.com.br,2
ARLINDO,221,@dominiodoemail.com.br,arlindo@dominiodoemail.com.br,3
MICHAEL,49,@dominiodoemail.com.br,michael@dominiodoemail.com.br,1
ALVARO,37,@dominiodoemail.com.br,alvaro@dominiodoemail.com.br,1
GEOVANE,34,@dominiodoemail.com.br,geovane@dominiodoemail.com.br,1
MARIA,330,@servicodoemail.com,maria@servicodoemail.com,3
ANA,23,@servicodoemail.com,ana@servicodoemail.com,2
FRANCISCA,204,@dominiodoemail.com.br,francisca@dominiodoemail.com.br,1
ANTONIA,381,@servicodoemail.com,antonia@servicodoemail.com,3
ADRIANA,229,@servicodoemail.com,adriana@servicodoemail.com,1
JULIANA,10,@servicodoemail.com,juliana@servicodoemail.com,2
MARCIA,66,@dominiodoemail.com.br,marcia@dominiodoemail.com.br,1
FERNANDA,28,@servicodoemail.com,fernanda@servicodoemail.com,1
PATRICIA,207,@servicodoemail.com,patricia@servicodoemail.com,1
ALINE,389,@servicodoemail.com,aline@servicodoemail.com,1
SANDRA,124,@dominiodoemail.com.br,sandra@dominiodoemail.com.br,9
CAMILA,218,@servicodoemail.com,camila@servicodoemail.com,1
AMANDA,161,@servicodoemail.com,amanda@servicodoemail.com,1
BRUNA,194,@servicodoemail.com,bruna@servicodoemail.com,2
JESSICA,137,@dominiodoemail.com.br,jessica@dominiodoemail.com.br,1
LETICIA,292,@dominiodoemail.com.br,leticia@dominiodoemail.com.br,1
JULIA,223,@dominiodoemail.com.br,julia@dominiodoemail.com.br,1
LUCIANA,112,@servicodoemail.com,luciana@servicodoemail.com,2
VANESSA,69,@dominiodoemail.com.br,vanessa@dominiodoemail.com.br,1
MARIANA,132,@dominiodoemail.com.br,mariana@dominiodoemail.com.br,2
GABRIELA,100,@servicodoemail.com,gabriela@servicodoemail.com,2
VERA,308,@dominiodoemail.com.br,vera@dominiodoemail.com.br,1
VITORIA,310,@dominiodoemail.com.br,vitoria@dominiodoemail.com.br,3
LARISSA,320,@dominiodoemail.com.br,larissa@dominiodoemail.com.br,1
CLAUDIA,399,@servicodoemail.com,claudia@servicodoemail.com,3
BEATRIZ,235,@servicodoemail.com,beatriz@servicodoemail.com,1
RITA,85,@servicodoemail.com,rita@servicodoemail.com,2
LUANA,326,@dominiodoemail.com.br,luana@dominiodoemail.com.br,2
SONIA,301,@servicodoemail.com,sonia@servicodoemail.com,4
RENATA,266,@dominiodoemail.com.br,renata@dominiodoemail.com.br,2
ELIANE,110,@servicodoemail.com,eliane@servicodoemail.com,1
JOSEFA,335,@servicodoemail.com,josefa@servicodoemail.com,1
SIMONE,321,@dominiodoemail.com.br,simone@dominiodoemail.com.br,1
NATALIA,329,@servicodoemail.com,natalia@servicodoemail.com,2
CRISTIANE,151,@servicodoemail.com,cristiane@servicodoemail.com,4
CARLA,187,@servicodoemail.com,carla@servicodoemail.com,2
DEBORA,363,@dominiodoemail.com.br,debora@dominiodoemail.com.br,6
ROSANGELA,122,@servicodoemail.com,rosangela@servicodoemail.com,1
JAQUELINE,293,@dominiodoemail.com.br,jaqueline@dominiodoemail.com.br,1
ROSA,131,@servicodoemail.com,rosa@servicodoemail.com,1
APARECIDA,138,@servicodoemail.com,aparecida@servicodoemail.com,1
DANIELA,203,@servicodoemail.com,daniela@servicodoemail.com,1
MARLENE,92,@servicodoemail.com,marlene@servicodoemail.com,1
TEREZINHA,338,@dominiodoemail.com.br,terezinha@dominiodoemail.com.br,3
RAIMUNDA,317,@dominiodoemail.com.br,raimunda@dominiodoemail.com.br,2
ANDREIA,195,@servicodoemail.com,andreia@servicodoemail.com,1
FABIANA,62,@dominiodoemail.com.br,fabiana@dominiodoemail.com.br,2
LUCIA,209,@dominiodoemail.com.br,lucia@dominiodoemail.com.br,3
RAQUEL,383,@servicodoemail.com,raquel@servicodoemail.com,2
ANGELA,336,@dominiodoemail.com.br,angela@dominiodoemail.com.br,1
RAFAELA,182,@servicodoemail.com,rafaela@servicodoemail.com,2
JOANA,174,@dominiodoemail.com.br,joana@dominiodoemail.com.br,2
LUZIA,219,@dominiodoemail.com.br,luzia@dominiodoemail.com.br,2
ELAINE,355,@servicodoemail.com,elaine@servicodoemail.com,4
REGINA,163,@dominiodoemail.com.br,regina@dominiodoemail.com.br,1
DANIELE,185,@dominiodoemail.com.br,daniele@dominiodoemail.com.br,9
SUELI,45,@dominiodoemail.com.br,sueli@dominiodoemail.com.br,1
DAIANE,344,@servicodoemail.com,daiane@servicodoemail.com,3
ALESSANDRA,130,@servicodoemail.com,alessandra@servicodoemail.com,2
ISABEL,50,@dominiodoemail.com.br,isabel@dominiodoemail.com.br,3
SARA,97,@servicodoemail.com,sara@servicodoemail.com,1
BIANCA,197,@dominiodoemail.com.br,bianca@dominiodoemail.com.br,9
FLAVIA,215,@servicodoemail.com,flavia@servicodoemail.com,1
ERICA,238,@dominiodoemail.com.br,erica@dominiodoemail.com.br,2
VIVIANE,289,@dominiodoemail.com.br,viviane@dominiodoemail.com.br,5
SILVANA,394,@servicodoemail.com,silvana@servicodoemail.com,2
PRISCILA,347,@dominiodoemail.com.br,priscila@dominiodoemail.com.br,2
PAULA,63,@dominiodoemail.com.br,paula@dominiodoemail.com.br,1
LUIZA,282,@dominiodoemail.com.br,luiza@dominiodoemail.com.br,2
TEREZA,169,@servicodoemail.com,tereza@servicodoemail.com,3
ISABELA,247,@servicodoemail.com,isabela@servicodoemail.com,1
MARTA,257,@dominiodoemail.com.br,marta@dominiodoemail.com.br,7
CAROLINE,251,@dominiodoemail.com.br,caroline@dominiodoemail.com.br,1
JANAINA,269,@servicodoemail.com,janaina@servicodoemail.com,1
LAURA,354,@dominiodoemail.com.br,laura@dominiodoemail.com.br,2
MARLI,391,@dominiodoemail.com.br,marli@dominiodoemail.com.br,1
TATIANE,153,@servicodoemail.com,tatiane@servicodoemail.com,1
MARINA,359,@dominiodoemail.com.br,marina@dominiodoemail.com.br,1
SILVIA,40,@dominiodoemail.com.br,silvia@dominiodoemail.com.br,3
MONICA,306,@servicodoemail.com,monica@servicodoemail.com,1
TAIS,372,@dominiodoemail.com.br,tais@dominiodoemail.com.br,2
MICHELE,65,@dominiodoemail.com.br,michele@dominiodoemail.com.br,7
SOLANGE,206,@dominiodoemail.com.br,solange@dominiodoemail.com.br,3
EDNA,8,@dominiodoemail.com.br,edna@dominiodoemail.com.br,1
FATIMA,77,@dominiodoemail.com.br,fatima@dominiodoemail.com.br,3
HELENA,58,@dominiodoemail.com.br,helena@dominiodoemail.com.br,1
CRISTINA,250,@servicodoemail.com,cristina@servicodoemail.com,2
ALICE,119,@dominiodoemail.com.br,alice@dominiodoemail.com.br,1
CAROLINA,141,@servicodoemail.com,carolina@servicodoemail.com,4
ROSANA,88,@dominiodoemail.com.br,rosana@dominiodoemail.com.br,1
ANDRESSA,364,@servicodoemail.com,andressa@servicodoemail.com,2
CELIA,254,@dominiodoemail.com.br,celia@dominiodoemail.com.br,1
VALERIA,60,@servicodoemail.com,valeria@servicodoemail.com,3
ELIANA,256,@dominiodoemail.com.br,eliana@dominiodoemail.com.br,6
SABRINA,343,@dominiodoemail.com.br,sabrina@dominiodoemail.com.br,1
ANDREA,46,@servicodoemail.com,andrea@servicodoemail.com,4
TANIA,86,@servicodoemail.com,tania@servicodoemail.com,1
BARBARA,109,@servicodoemail.com,barbara@servicodoemail.com,1
THAIS,133,@dominiodoemail.com.br,thais@dominiodoemail.com.br,1
DENISE,16,@servicodoemail.com,denise@servicodoemail.com,5
ROSELI,193,@dominiodoemail.com.br,roseli@dominiodoemail.com.br,2
GISELE,362,@dominiodoemail.com.br,gisele@dominiodoemail.com.br,1
MARILENE,116,@dominiodoemail.com.br,marilene@dominiodoemail.com.br,1
KATIA,294,@servicodoemail.com,katia@servicodoemail.com,1
EVA,27,@servicodoemail.com,eva@servicodoemail.com,1
MILENA,140,@dominiodoemail.com.br,milena@dominiodoemail.com.br,3
EDUARDA,198,@servicodoemail.com,eduarda@servicodoemail.com,5
ELISANGELA,14,@servicodoemail.com,elisangela@servicodoemail.com,2
VILMA,87,@servicodoemail.com,vilma@servicodoemail.com,4
GEOVANA,265,@servicodoemail.com,geovana@servicodoemail.com,3
LUCIENE,262,@dominiodoemail.com.br,luciene@dominiodoemail.com.br,6
TAMIRES,222,@dominiodoemail.com.br,tamires@dominiodoemail.com.br,1
TATIANA,243,@servicodoemail.com,tatiana@servicodoemail.com,3
ROBERTA,259,@servicodoemail.com,roberta@servicodoemail.com,4
ELZA,319,@dominiodoemail.com.br,elza@dominiodoemail.com.br,3
TALITA,103,@servicodoemail.com,talita@servicodoemail.com,3
MARCELA,149,@servicodoemail.com,marcela@servicodoemail.com,1
PAMELA,139,@servicodoemail.com,pamela@servicodoemail.com,2
VANIA,67,@dominiodoemail.com.br,vania@dominiodoemail.com.br,1
IRENE,3,@servicodoemail.com,irene@servicodoemail.com,1
JOSIANE,56,@servicodoemail.com,josiane@servicodoemail.com,4
LIVIA,304,@servicodoemail.com,livia@servicodoemail.com,2
CINTIA,233,@dominiodoemail.com.br,cintia@dominiodoemail.com.br,1
IVONE,51,@dominiodoemail.com.br,ivone@dominiodoemail.com.br,1
LAIS,1,@dominiodoemail.com.br,lais@dominiodoemail.com.br,1
BENEDITA,18,@dominiodoemail.com.br,benedita@dominiodoemail.com.br,4
SEBASTIANA,268,@dominiodoemail.com.br,sebastiana@dominiodoemail.com.br,2
TAINA,373,@dominiodoemail.com.br,taina@dominiodoemail.com.br,1
JOICE,312,@servicodoemail.com,joice@servicodoemail.com,1
MIRIAN,25,@servicodoemail.com,mirian@servicodoemail.com,1
ELIZABETE,183,@dominiodoemail.com.br,elizabete@dominiodoemail.com.br,1
ANGELICA,186,@dominiodoemail.com.br,angelica@dominiodoemail.com.br,2
GABRIELE,43,@dominiodoemail.com.br,gabriele@dominiodoemail.com.br,2
BRENDA,129,@servicodoemail.com,brenda@servicodoemail.com,3
VERONICA,244,@dominiodoemail.com.br,veronica@dominiodoemail.com.br,1
ROSILENE,255,@dominiodoemail.com.br,rosilene@dominiodoemail.com.br,3
KARINA,270,@dominiodoemail.com.br,karina@dominiodoemail.com.br,4
NAIR,375,@dominiodoemail.com.br,nair@dominiodoemail.com.br,1
NEUSA,154,@dominiodoemail.com.br,neusa@dominiodoemail.com.br,1
MARGARIDA,70,@dominiodoemail.com.br,margarida@dominiodoemail.com.br,5
NEUZA,360,@servicodoemail.com,neuza@servicodoemail.com,1
NEIDE,158,@servicodoemail.com,neide@servicodoemail.com,2
RAISSA,377,@servicodoemail.com,raissa@servicodoemail.com,1
MAIARA,271,@servicodoemail.com,maiara@servicodoemail.com,1
LORENA,146,@servicodoemail.com,lorena@servicodoemail.com,1
FRANCIELE,205,@dominiodoemail.com.br,franciele@dominiodoemail.com.br,1
SAMARA,278,@servicodoemail.com,samara@servicodoemail.com,1
LILIAN,314,@dominiodoemail.com.br,lilian@dominiodoemail.com.br,2
JANETE,331,@dominiodoemail.com.br,janete@dominiodoemail.com.br,3
CICERA,64,@dominiodoemail.com.br,cicera@dominiodoemail.com.br,5
GIOVANA,325,@dominiodoemail.com.br,giovana@dominiodoemail.com.br,2
SEVERINA,392,@dominiodoemail.com.br,severina@dominiodoemail.com.br,1
LARA,168,@dominiodoemail.com.br,lara@dominiodoemail.com.br,1
CLEIDE,76,@dominiodoemail.com.br,cleide@dominiodoemail.com.br,4
NICOLE,290,@servicodoemail.com,nicole@servicodoemail.com,4
CECILIA,350,@servicodoemail.com,cecilia@servicodoemail.com,4
YASMIN,118,@dominiodoemail.com.br,yasmin@dominiodoemail.com.br,1
CONCEICAO,213,@servicodoemail.com,conceicao@servicodoemail.com,1
INGRID,353,@dominiodoemail.com.br,ingrid@dominiodoemail.com.br,1
SELMA,358,@servicodoemail.com,selma@servicodoemail.com,1
LEILA,180,@dominiodoemail.com.br,leila@dominiodoemail.com.br,2
RAIANE,348,@servicodoemail.com,raiane@servicodoemail.com,2
ESTER,99,@servicodoemail.com,ester@servicodoemail.com,2
REGIANE,361,@servicodoemail.com,regiane@servicodoemail.com,1
MARISA,135,@dominiodoemail.com.br,marisa@dominiodoemail.com.br,1
EUNICE,176,@dominiodoemail.com.br,eunice@dominiodoemail.com.br,2
KELLY,384,@servicodoemail.com,kelly@servicodoemail.com,5
TAINARA,84,@servicodoemail.com,tainara@servicodoemail.com,2
IARA,397,@servicodoemail.com,iara@servicodoemail.com,2
JOELMA,39,@servicodoemail.com,joelma@servicodoemail.com,2
MARINALVA,340,@servicodoemail.com,marinalva@servicodoemail.com,3
TERESINHA,2,@dominiodoemail.com.br,teresinha@dominiodoemail.com.br,3
REBECA,311,@dominiodoemail.com.br,rebeca@dominiodoemail.com.br,2
GERALDA,305,@dominiodoemail.com.br,geralda@dominiodoemail.com.br,1
CLEONICE,68,@servicodoemail.com,cleonice@servicodoemail.com,1
ALEXANDRA,208,@dominiodoemail.com.br,alexandra@dominiodoemail.com.br,2
MARA,387,@servicodoemail.com,mara@servicodoemail.com,1
JENIFER,253,@servicodoemail.com,jenifer@servicodoemail.com,1
ELIZANGELA,334,@servicodoemail.com,elizangela@servicodoemail.com,1
LILIANE,339,@dominiodoemail.com.br,liliane@dominiodoemail.com.br,1
LIDIA,111,@servicodoemail.com,lidia@servicodoemail.com,3
IRACEMA,224,@servicodoemail.com,iracema@servicodoemail.com,2
LIDIANE,32,@servicodoemail.com,lidiane@servicodoemail.com,2
IRACI,73,@servicodoemail.com,iraci@servicodoemail.com,5
MARILIA,47,@servicodoemail.com,marilia@servicodoemail.com,2
SHEILA,126,@servicodoemail.com,sheila@servicodoemail.com,3
